
Date        West     East     DMI(=West-East)
1894:2:16:0 -0.334621 -0.266873 -0.0677483
1894:3:16:0 -0.360011 -0.270756 -0.0892545
1894:4:16:0 -0.320279 -0.215368 -0.104911
1894:5:16:0 -0.437612 -0.45586 0.0182482
1894:6:16:0 -0.439438 -0.566602 0.127164
1894:7:16:0 -0.420395 -0.567583 0.147189
1894:8:16:0 -0.354882 -0.792284 0.437401
1894:9:16:0 -0.499541 -0.568804 0.0692626
1894:10:16:0 -0.464347 -0.522856 0.0585091
1894:11:16:0 -0.483246 -0.480557 -0.00268933
1894:12:16:0 -0.377143 -0.360499 -0.0166446
1895:1:16:0 -0.39789 -0.39953 0.00164044
1895:2:16:0 -0.25154 -0.381426 0.129885
1895:3:16:0 -0.247974 -0.306581 0.0586073
1895:4:16:0 -0.313044 -0.341373 0.0283284
1895:5:16:0 -0.310149 -0.387577 0.0774277
1895:6:16:0 -0.237862 -0.33941 0.101548
1895:7:16:0 -0.376534 -0.291275 -0.0852586
1895:8:16:0 -0.0613877 -0.297744 0.236356
1895:9:16:0 -0.129984 -0.22092 0.0909365
1895:10:16:0 -0.0767551 -0.305469 0.228714
1895:11:16:0 -0.166592 0.0482113 -0.214803
1895:12:16:0 -0.240127 -0.106213 -0.133914
1896:1:16:0 -0.102994 0.085386 -0.18838
1896:2:16:0 -0.208104 0.178215 -0.386319
1896:3:16:0 -0.212939 0.171034 -0.383973
1896:4:16:0 -0.046163 0.029266 -0.075429
1896:5:16:0 0.0241824 0.00399789 0.0201845
1896:6:16:0 0.0253452 -0.0434484 0.0687935
1896:7:16:0 0.0054391 -0.216114 0.221553
1896:8:16:0 -0.0917563 -0.264949 0.173193
1896:9:16:0 -0.0169952 -0.394572 0.377577
1896:10:16:0 0.0778439 -0.600061 0.677905
1896:11:16:0 -0.108767 -0.413998 0.305231
1896:12:16:0 0.189145 -0.130531 0.319676
1897:1:16:0 0.0966602 0.103065 -0.00640525
1897:2:16:0 0.12888 0.257762 -0.128882
1897:3:16:0 0.14179 0.253812 -0.112023
1897:4:16:0 0.0527365 0.021262 0.0314745
1897:5:16:0 -0.0500863 -0.10015 0.0500637
1897:6:16:0 -0.065804 -0.036353 -0.0294509
1897:7:16:0 0.204914 0.130906 0.0740087
1897:8:16:0 0.288374 0.206039 0.0823357
1897:9:16:0 0.00588782 0.168033 -0.162145
1897:10:16:0 -0.216803 0.504491 -0.721294
1897:11:16:0 -0.477985 0.138363 -0.616348
1897:12:16:0 -0.361136 0.142771 -0.503908
1898:1:16:0 -0.395534 -0.0408532 -0.35468
1898:2:16:0 -0.381817 -0.129719 -0.252097
1898:3:16:0 -0.521341 -0.364793 -0.156548
1898:4:16:0 -0.334201 -0.17189 -0.162311
1898:5:16:0 -0.368491 -0.114842 -0.253648
1898:6:16:0 -0.414071 -0.208507 -0.205564
1898:7:16:0 -0.374695 0.105062 -0.479757
1898:8:16:0 -0.445998 0.0497372 -0.495735
1898:9:16:0 -0.438766 0.0482585 -0.487024
1898:10:16:0 -0.420853 0.09776 -0.518613
1898:11:16:0 -0.535164 -0.161445 -0.373719
1898:12:16:0 -0.525571 -0.292578 -0.232992
1899:1:16:0 -0.680898 -0.461477 -0.219421
1899:2:16:0 -0.629754 -0.53182 -0.0979343
1899:3:16:0 -0.54526 -0.54883 0.0035702
1899:4:16:0 -0.426198 -0.503442 0.0772444
1899:5:16:0 -0.297082 -0.436249 0.139167
1899:6:16:0 -0.500005 -0.343859 -0.156146
1899:7:16:0 -0.45457 -0.213857 -0.240713
1899:8:16:0 -0.40474 -0.277574 -0.127166
1899:9:16:0 -0.760138 -0.240369 -0.519768
1899:10:16:0 -0.201204 -0.168173 -0.0330315
1899:11:16:0 -0.320188 -0.161839 -0.158349
1899:12:16:0 -0.360476 0.146296 -0.506772
1900:1:16:0 -0.181494 0.0979216 -0.279416
1900:2:16:0 0.0920784 0.201473 -0.109395
1900:3:16:0 -0.116093 0.175631 -0.291723
1900:4:16:0 0.0879192 0.199691 -0.111772
1900:5:16:0 0.0661469 -0.00350956 0.0696564
1900:6:16:0 0.0637115 -0.112456 0.176168
1900:7:16:0 -0.0158942 -0.022472 0.00657781
1900:8:16:0 -0.153825 0.0173975 -0.171222
1900:9:16:0 -0.105974 0.0324488 -0.138423
1900:10:16:0 -0.184961 -0.148623 -0.0363386
1900:11:16:0 -0.0658679 -0.146039 0.0801711
1900:12:16:0 -0.115312 0.284664 -0.399976
1901:1:16:0 -0.0407005 0.309502 -0.350202
1901:2:16:0 -0.480256 0.195094 -0.67535
1901:3:16:0 -0.435966 0.113276 -0.549242
1901:4:16:0 -0.247732 0.0603464 -0.308079
1901:5:16:0 -0.278641 0.0432889 -0.32193
1901:6:16:0 -0.464177 -0.0722152 -0.391962
1901:7:16:0 -0.626749 -0.242489 -0.38426
1901:8:16:0 -0.5492 -0.035239 -0.513961
1901:9:16:0 -0.780959 -0.155688 -0.625271
1901:10:16:0 -0.480136 -0.103753 -0.376383
1901:11:16:0 -0.542153 -0.0889129 -0.45324
1901:12:16:0 -0.46244 -0.0272233 -0.435217
1902:1:16:0 -0.313335 -0.0447497 -0.268586
1902:2:16:0 -0.251348 0.00464626 -0.255994
1902:3:16:0 -0.268447 -0.205954 -0.0624926
1902:4:16:0 -0.0831735 -0.346807 0.263633
1902:5:16:0 -0.171597 -0.350704 0.179107
1902:6:16:0 -0.0893814 -0.216107 0.126726
1902:7:16:0 -0.180977 -0.429866 0.248889
1902:8:16:0 0.0208024 -0.620385 0.641187
1902:9:16:0 -0.104052 -0.701422 0.59737
1902:10:16:0 -0.0896122 -0.24012 0.150508
1902:11:16:0 -0.229971 -0.455422 0.22545
1902:12:16:0 -0.18876 -0.151827 -0.0369335
1903:1:16:0 -0.272406 0.0179251 -0.290331
1903:2:16:0 -0.290963 0.0866387 -0.377602
1903:3:16:0 -0.256896 -0.0594377 -0.197458
1903:4:16:0 -0.380317 0.0344942 -0.414811
1903:5:16:0 -0.251314 -0.218276 -0.0330383
1903:6:16:0 -0.14412 -0.0306669 -0.113453
1903:7:16:0 -0.337075 -0.0528341 -0.284241
1903:8:16:0 -0.191578 -0.0607881 -0.13079
1903:9:16:0 -0.36321 -0.0772361 -0.285974
1903:10:16:0 -0.671001 -0.0345494 -0.636452
1903:11:16:0 -0.658475 -0.314937 -0.343538
1903:12:16:0 -0.530252 -0.332769 -0.197483
1904:1:16:0 -0.664979 -0.638223 -0.0267564
1904:2:16:0 -0.387922 -0.349739 -0.0381833
1904:3:16:0 -0.48028 -0.437962 -0.0423182
1904:4:16:0 -0.443674 -0.627337 0.183662
1904:5:16:0 -0.44664 -0.420665 -0.0259752
1904:6:16:0 -0.36932 -0.308058 -0.0612625
1904:7:16:0 -0.255543 -0.301774 0.0462306
1904:8:16:0 -0.367639 -0.27039 -0.0972488
1904:9:16:0 -0.45945 -0.180865 -0.278585
1904:10:16:0 -0.204069 -0.359032 0.154962
1904:11:16:0 -0.333621 -0.267959 -0.0656616
1904:12:16:0 -0.443936 -0.0426157 -0.40132
1905:1:16:0 -0.450316 -0.0475568 -0.402759
1905:2:16:0 -0.201023 -0.0193096 -0.181713
1905:3:16:0 -0.208388 0.0918476 -0.300236
1905:4:16:0 -0.515972 -0.261061 -0.254911
1905:5:16:0 -0.292473 -0.324646 0.0321738
1905:6:16:0 -0.109846 0.117911 -0.227757
1905:7:16:0 -0.157646 -0.213667 0.056021
1905:8:16:0 -0.235247 -0.325126 0.0898788
1905:9:16:0 0.0111142 -0.406109 0.417223
1905:10:16:0 -0.220557 -0.14081 -0.0797468
1905:11:16:0 -0.142556 0.0215204 -0.164077
1905:12:16:0 -0.0978182 0.228378 -0.326196
1906:1:16:0 -0.185689 0.224384 -0.410073
1906:2:16:0 0.0616042 0.357489 -0.295885
1906:3:16:0 -0.179737 0.158029 -0.337766
1906:4:16:0 -0.361038 0.211803 -0.572841
1906:5:16:0 -0.166431 0.0208802 -0.187311
1906:6:16:0 -0.135841 0.0266525 -0.162494
1906:7:16:0 -0.520043 0.139459 -0.659502
1906:8:16:0 -0.475586 0.283839 -0.759425
1906:9:16:0 -0.742988 0.475718 -1.21871
1906:10:16:0 -0.478384 0.129564 -0.607948
1906:11:16:0 -0.598458 -0.0884104 -0.510048
1906:12:16:0 -0.5026 -0.395428 -0.107172
1907:1:16:0 -0.206007 -0.0310825 -0.174925
1907:2:16:0 -0.188748 -0.196396 0.00764772
1907:3:16:0 -0.220579 -0.346786 0.126207
1907:4:16:0 -0.186736 -0.0306355 -0.1561
1907:5:16:0 -0.382135 -0.3092 -0.0729354
1907:6:16:0 -0.503389 -0.380212 -0.123177
1907:7:16:0 -0.535864 -0.260861 -0.275003
1907:8:16:0 -0.796558 -0.175601 -0.620957
1907:9:16:0 -0.309789 -0.18346 -0.126329
1907:10:16:0 -0.26603 -0.251425 -0.0146045
1907:11:16:0 -0.277939 -0.173117 -0.104823
1907:12:16:0 -0.172426 -0.186763 0.0143368
1908:1:16:0 -0.224604 -0.0223686 -0.202235
1908:2:16:0 -0.224891 -0.0683628 -0.156528
1908:3:16:0 -0.443905 -0.360313 -0.0835922
1908:4:16:0 -0.533193 0.0411224 -0.574315
1908:5:16:0 -0.224704 -0.222312 -0.00239287
1908:6:16:0 -0.0185845 -0.278165 0.25958
1908:7:16:0 -0.403766 -0.134972 -0.268794
1908:8:16:0 -0.166972 -0.020544 -0.146428
1908:9:16:0 -0.285538 -0.35936 0.0738224
1908:10:16:0 -0.201912 -0.126566 -0.075346
1908:11:16:0 -0.324851 -0.107707 -0.217144
1908:12:16:0 -0.560557 -0.218492 -0.342065
1909:1:16:0 -0.521296 0.0110403 -0.532336
1909:2:16:0 -0.451698 -0.152233 -0.299466
1909:3:16:0 -0.406629 -0.0345049 -0.372124
1909:4:16:0 -0.268278 -0.0389392 -0.229339
1909:5:16:0 -0.534289 0.0306821 -0.564971
1909:6:16:0 -0.668245 0.0211541 -0.689399
1909:7:16:0 -0.625806 0.0719501 -0.697756
1909:8:16:0 -0.613174 0.059223 -0.672397
1909:9:16:0 -0.444956 0.0721604 -0.517116
1909:10:16:0 -0.41053 -0.0810102 -0.32952
1909:11:16:0 -0.305716 -0.173477 -0.132238
1909:12:16:0 -0.200331 -0.189155 -0.0111759
1910:1:16:0 -0.321074 0.0384224 -0.359496
1910:2:16:0 -0.406992 -0.425059 0.0180677
1910:3:16:0 -0.499505 -0.180162 -0.319343
1910:4:16:0 -0.671943 -0.495668 -0.176275
1910:5:16:0 -0.551537 -0.255259 -0.296278
1910:6:16:0 -0.424893 -0.18909 -0.235803
1910:7:16:0 -0.562843 0.141377 -0.704219
1910:8:16:0 -0.612109 -0.113645 -0.498464
1910:9:16:0 -0.624996 -0.00727661 -0.61772
1910:10:16:0 -0.629309 0.0154294 -0.644738
1910:11:16:0 -0.65073 -0.257223 -0.393507
1910:12:16:0 -0.447366 -0.394885 -0.0524809
1911:1:16:0 -0.152782 -0.161362 0.0085794
